agg_type,ATT,SE,CI_lower,CI_upper,n_total_cells,n_valid_cells,weight_sum,dataset,outcome,event_time
group,0.052902459516229045,0.04772276365113275,-0.040634157239991156,0.14643907627244923,35,35,16030.0,All_POIs,lcus,38.0
group,-0.08150828120105263,0.06895982478140097,-0.21666953777259854,0.05365297537049327,34,34,6936.0,All_POIs,lcus,39.0
group,-0.04202734075912004,0.058367483121595794,-0.1564276076774478,0.0723729261592077,33,33,11517.0,All_POIs,lcus,40.0
group,0.015505373073488664,0.03720059178169618,-0.05740778681863584,0.08841853296561317,32,32,29056.0,All_POIs,lcus,41.0
group,0.07372281832604587,0.06652962751878323,-0.056675251610769264,0.204120888262861,31,31,9021.0,All_POIs,lcus,42.0
group,0.02989911359273981,0.0691456778541064,-0.10562641500130873,0.16542464218678835,30,30,6240.0,All_POIs,lcus,43.0
group,-0.05070820145478626,0.05925652611741038,-0.1668509926449106,0.06543458973533808,29,29,9280.0,All_POIs,lcus,44.0
group,-0.014154833679129971,0.05283680379788655,-0.11771496912298761,0.08940530176472768,28,28,12460.0,All_POIs,lcus,45.0
group,0.09653563558845792,0.07179612070882835,-0.04418476100084563,0.23725603217776148,27,27,5967.0,All_POIs,lcus,46.0
group,-0.054132444922416874,0.05043420473758143,-0.15298348620807647,0.04471859636324272,26,26,9464.0,All_POIs,lcus,47.0
group,-0.07204911776404682,0.06047425291074111,-0.19057865346909938,0.04648041794100574,25,25,6825.0,All_POIs,lcus,48.0
group,0.04304286016923404,0.05005378143881833,-0.05506255145084988,0.14114827178931796,24,24,9960.0,All_POIs,lcus,49.0
group,0.059147608899085484,0.056493965567086156,-0.05158056361240338,0.16987578141057436,23,23,8510.0,All_POIs,lcus,50.0
group,-0.026633082311557536,0.05035730868223526,-0.12533340732873866,0.07206724270562358,22,22,12452.0,All_POIs,lcus,51.0
group,0.06735822464452926,0.05976060413817588,-0.04977255946629547,0.18448900875535398,21,21,6867.0,All_POIs,lcus,52.0
group,-0.004103407476247308,0.06115609138160266,-0.12396934658418853,0.11576253163169391,20,20,6420.0,All_POIs,lcus,53.0
group,0.06098061716465683,0.0613637065568787,-0.05929224768682542,0.18125348201613908,19,19,6612.0,All_POIs,lcus,54.0
group,-8.198782821466392e-05,0.06306028305827366,-0.12368014262243104,0.1235161669660017,18,18,5454.0,All_POIs,lcus,55.0
group,0.017330072658856943,0.07442133522002294,-0.12853574437238802,0.1631958896901019,17,17,3298.0,All_POIs,lcus,56.0
group,0.04586308082912334,0.06379836847148561,-0.07918172137498845,0.17090788303323512,16,16,4656.0,All_POIs,lcus,57.0
group,-0.039067732833597775,0.06409058548540619,-0.16468528038499392,0.08654981471779838,15,15,4965.0,All_POIs,lcus,58.0
group,0.04551542352302334,0.049214642399188505,-0.05094527557938613,0.1419761226254328,14,14,6468.0,All_POIs,lcus,59.0
group,0.11606954076130178,0.07934973776741747,-0.03945594526283645,0.27159502678544,13,13,2639.0,All_POIs,lcus,60.0
group,-0.01466724179830466,0.053984716373591105,-0.12047728589054323,0.09114280229393391,12,12,4416.0,All_POIs,lcus,61.0
group,0.019035262054510872,0.07177341907740391,-0.12164063933720079,0.15971116344622252,11,11,2794.0,All_POIs,lcus,62.0
group,0.025151930971257366,0.06114382791995083,-0.09468997175184625,0.14499383369436097,10,10,2690.0,All_POIs,lcus,63.0
group,-0.01828406719762639,0.06372354787269542,-0.1431822210281094,0.10661408663285664,9,9,2304.0,All_POIs,lcus,64.0
group,0.1985004776923232,0.0782500581847644,0.045130363650184996,0.35187059173446145,8,8,2064.0,All_POIs,lcus,65.0
group,0.08485457255057549,0.07156325488611136,-0.055409407026202756,0.22511855212735374,7,7,2541.0,All_POIs,lcus,66.0
group,-0.016870786286299563,0.08916713501205113,-0.19163837090991978,0.15789679833732065,6,6,1278.0,All_POIs,lcus,67.0
group,0.006665673652889841,0.06763382132817183,-0.12589661615032696,0.13922796345610663,5,5,1575.0,All_POIs,lcus,68.0
group,-0.00593007668008717,0.0988158167071876,-0.19960907742617484,0.18774892406600052,4,4,1000.0,All_POIs,lcus,69.0
group,-0.023661779012395606,0.1423500707539232,-0.30266791769008505,0.2553443596652939,3,3,351.0,All_POIs,lcus,70.0
group,0.08561188500937368,0.06016778350290189,-0.03231697065631402,0.2035407406750614,2,2,466.0,All_POIs,lcus,71.0
calendar,-0.028492302611602842,0.03383752007955961,-0.09481384196753967,0.03782923674433399,1,1,859.0,All_POIs,lcus,2.0
calendar,-0.05667028319529065,0.03895694711340117,-0.13302589953755695,0.01968533314697564,2,2,1276.0,All_POIs,lcus,3.0
calendar,-0.03181890220249356,0.04155349631947103,-0.11326375498865678,0.049625950583669656,3,3,1716.0,All_POIs,lcus,4.0
calendar,-0.031066852484981453,0.04410285948700865,-0.1175084570795184,0.0553747521095555,4,4,2055.0,All_POIs,lcus,5.0
calendar,-0.018968075024877264,0.049620237577757076,-0.11622374067728114,0.0782875906275266,5,5,2236.0,All_POIs,lcus,6.0
calendar,-0.003840402812501307,0.04732615716941688,-0.09659967086455838,0.08891886523955576,6,6,2777.0,All_POIs,lcus,7.0
calendar,-0.006107056542746345,0.04587588529281984,-0.09602379171667323,0.08380967863118054,7,7,3384.0,All_POIs,lcus,8.0
calendar,-0.02254977572085773,0.04476872323217277,-0.11029647325591636,0.0651969218142009,8,8,4359.0,All_POIs,lcus,9.0
calendar,-0.03340200353556279,0.0455154100996027,-0.12261220733078408,0.055808200259658505,9,9,4859.0,All_POIs,lcus,10.0
calendar,-0.00869095136433923,0.04435302390148238,-0.0956228782112447,0.07824097548256624,10,10,5673.0,All_POIs,lcus,11.0
calendar,0.04048353106168113,0.04672718039668143,-0.05110174251581447,0.13206880463917672,11,11,6326.0,All_POIs,lcus,12.0
calendar,0.0397522066101351,0.08850853503119327,-0.1337245220510037,0.2132289352712739,12,12,6957.0,All_POIs,lcus,13.0
calendar,0.06825771042123022,0.0875671307328315,-0.10337386581511951,0.23988928665757994,13,13,7350.0,All_POIs,lcus,14.0
calendar,0.07664257622130058,0.08452132173848759,-0.08901921438613508,0.24230436682873624,14,14,7933.0,All_POIs,lcus,15.0
calendar,0.0829169780398848,0.08050261584065214,-0.07486814900779339,0.240702105087563,15,15,8669.0,All_POIs,lcus,16.0
calendar,0.10333333797741068,0.07812073326160857,-0.04978329921534211,0.25644997517016344,16,16,9341.0,All_POIs,lcus,17.0
calendar,0.08014541268639547,0.07714421246983902,-0.07105724375448902,0.23134806912727995,17,17,9720.0,All_POIs,lcus,18.0
calendar,0.06773493284559268,0.07617690577274842,-0.08157180246899423,0.21704166816017958,18,18,10101.0,All_POIs,lcus,19.0
calendar,0.050062228384431674,0.07521158510253073,-0.09735247841652855,0.1974769351853919,19,19,10430.0,All_POIs,lcus,20.0
calendar,0.04582380960932314,0.07341531992415727,-0.0980702174420251,0.18971783666067138,20,20,11188.0,All_POIs,lcus,21.0
calendar,0.05937160352810534,0.07227132783679588,-0.08228019903201458,0.20102340608822525,21,21,11652.0,All_POIs,lcus,22.0
calendar,0.07521264803444935,0.07290562720456545,-0.06768238128649892,0.21810767735539763,22,22,12005.0,All_POIs,lcus,23.0
calendar,-0.01623157184192666,0.07383871864598925,-0.16095546038806557,0.12849231670421224,23,23,12212.0,All_POIs,lcus,24.0
calendar,0.0027227270536953293,0.07300407948654923,-0.14036526873994115,0.14581072284733182,24,24,12583.0,All_POIs,lcus,25.0
calendar,0.02587844309708032,0.07224113584012462,-0.11571418314956394,0.16747106934372458,25,25,12960.0,All_POIs,lcus,26.0
calendar,0.024393857671298085,0.07171474830165234,-0.11616704899994049,0.16495476434253667,26,26,13374.0,All_POIs,lcus,27.0
calendar,0.018254331211932467,0.07038499271446384,-0.11970025450841666,0.1562089169322816,27,27,14440.0,All_POIs,lcus,28.0
calendar,0.023923946029767454,0.06864978204891987,-0.1106296267861155,0.15847751884565042,28,28,15073.0,All_POIs,lcus,29.0
calendar,0.027803924357374398,0.06779978433868787,-0.10508365294645382,0.1606915016612026,29,29,15473.0,All_POIs,lcus,30.0
