term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,dataset,model,outcome,pre_window,post_window,n_stacks,n_original_pois,n_stacked_rows,pct_effect,pct_ci_low95,pct_ci_hi95,target,spec,max_control_pois,poi_type
competitor_port_treat_dc,-0.00025034880338562,0.0002657458124079169,-0.9420611414991455,0.3461613377010686,-0.000771210595705137,0.00027051298893389705,6214035,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,70,11213,6214035,-0.025031746873886002,-0.07709132892472148,0.027054958087194513,spatial,poi_type_Grocery,10000,Grocery
competitor_port_treat,-0.00011650198735556866,6.026981538244452e-05,-1.9330072046230877,0.05323531027737996,-0.0002346308255051599,1.626850794022596e-06,6214035,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,70,11213,6214035,-0.011649520126257341,-0.023460330184569635,0.00016268521173450664,spatial,poi_type_Grocery,10000,Grocery
competitor_port_treat_level2,-8.702700879616466e-05,5.128119270705269e-05,-1.6970550839820044,0.08968624689303746,-0.00018753814650198796,1.3484128909658618e-05,6214035,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,70,11213,6214035,-0.008702322205588501,-0.01875205623230432,0.0013484219820933464,spatial,poi_type_Grocery,10000,Grocery
competitor_port_treat_dc,-0.00034966362925849064,0.00038429067557852825,-0.9098936078323823,0.3628786211844607,-0.001102873353392406,0.00040354609487542475,6214035,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,70,11213,6214035,-0.034960250405630514,-0.11022654120902209,0.04036275305547511,spatial,poi_type_Grocery,10000,Grocery
competitor_port_treat,-0.00033775014511624367,0.0004170599017640327,-0.8098360539760988,0.41803440797559765,-0.0011551875525737478,0.00047968726234126044,92847,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,7,2188,92847,-0.03376931139569222,-0.11545205802836879,0.04798023306742891,spatial,poi_type_Hotels,10000,Hotels
competitor_port_treat_level2,0.00011340272210227193,0.0010465307299179992,0.10836062320994395,0.913709635286681,-0.0019377975085370066,0.0021646029527415504,92847,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,7,2188,92847,0.01134091524340321,-0.1935921191115057,0.21669473970048705,spatial,poi_type_Hotels,10000,Hotels
competitor_port_treat_dc,-0.001226450026390224,0.0015418933337305138,-0.795418204074406,0.4263702741172246,-0.004248560960502031,0.0017956609077215831,92847,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,7,2188,92847,-0.1225698243929223,-0.4239548593099405,0.1797274072190298,spatial,poi_type_Hotels,10000,Hotels
competitor_port_treat,-0.0008754492982263393,0.001208424547457813,-0.7244550767096212,0.46878639725154714,-0.003243961411243653,0.0014930628147909741,92847,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,7,2188,92847,-0.08750662042907177,-0.3238705453335767,0.14941779880142586,spatial,poi_type_Hotels,10000,Hotels
competitor_port_treat_level2,-0.0008265391449320486,0.0018606651723474593,-0.4442170236836686,0.6568856854353037,-0.004473442882733069,0.0028203645928689715,92847,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,7,2188,92847,-0.08261976555442584,-0.4463451940642239,0.2824345562803086,spatial,poi_type_Hotels,10000,Hotels
competitor_port_treat_dc,-0.0009717945740387513,0.003598178563639825,-0.27007958522650666,0.7870990273317471,-0.00802422455877281,0.006080635410695306,92847,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,7,2188,92847,-0.09713225346125189,-0.7992116407290522,0.6099160002256453,spatial,poi_type_Hotels,10000,Hotels
competitor_port_treat,-3.5624445494407173e-06,3.558362667296013e-06,-1.0011471236988347,0.3167556855653335,-1.0536835377340902e-05,3.411946278459468e-06,8602274,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,71,33270,8602274,-0.00035624382039426685,-0.0010536779865085992,0.0003411952099154792,spatial,poi_type_Restaurants,10000,Restaurants
competitor_port_treat_level2,-4.78851896493639e-07,3.714815380709631e-06,-0.12890328251041247,0.8974341792739404,-7.759890042684515e-06,6.802186249697238e-06,8602274,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,33270,8602274,-4.788517818440879e-05,-0.0007759859934815657,0.0006802209384618582,spatial,poi_type_Restaurants,10000,Restaurants
competitor_port_treat_dc,-4.774293272890533e-05,1.4326510988533938e-05,-3.3324884730913094,0.0008607303594806829,-7.582289426643184e-05,-1.966297119137881e-05,8602274,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,33270,8602274,-0.004774179305322977,-0.007582001978343538,-0.0019662777876427824,spatial,poi_type_Restaurants,10000,Restaurants
competitor_port_treat,-4.0055796440133896e-06,4.070061844560879e-06,-0.9841569482209068,0.32503834995519987,-1.1982900859352713e-05,3.971741571325933e-06,8602274,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,71,33270,8602274,-0.0004005571621689959,-0.0011982829064682982,0.00039717494587019296,spatial,poi_type_Restaurants,10000,Restaurants
competitor_port_treat_level2,-5.502411201126902e-07,4.240819669053486e-06,-0.12974876628873475,0.8967651987215532,-8.862247671457522e-06,7.761765431232143e-06,8602274,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,33270,8602274,-5.502409687300728e-05,-0.0008862208401856633,0.0007761795553811381,spatial,poi_type_Restaurants,10000,Restaurants
competitor_port_treat_dc,-5.3512294697748936e-05,1.727053069851463e-05,-3.098474252580514,0.001945198716277222,-8.736253486683761e-05,-1.9662054528660263e-05,8602274,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,33270,8602274,-0.005351086294044602,-0.008735871887171424,-0.0019661861231732992,spatial,poi_type_Restaurants,10000,Restaurants
competitor_port_treat,-2.3688555607180887e-05,4.9613070422793635e-05,-0.4774660267004499,0.6330303071987746,-0.00012093017363585641,7.355306242149463e-05,7753420,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,71,21734,7753420,-0.002368827503556296,-0.0120922861877149,0.007355576751431263,spatial,poi_type_Retail_Other,10000,Retail_Other
competitor_port_treat_level2,6.57660331457906e-06,4.819743378465778e-05,0.13645131697182863,0.8914645079249095,-8.789036690335018e-05,0.00010104357353250831,7753420,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,21734,7753420,0.0006576624940482047,-0.00878865046582052,0.010104867860632794,spatial,poi_type_Retail_Other,10000,Retail_Other
competitor_port_treat_dc,-0.0002195521703300423,0.00013402024686870386,-1.6382015065614066,0.10137966546776507,-0.0004822318541927019,4.3127513532617264e-05,7753420,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,21734,7753420,-0.02195280705160484,-0.048211559910015675,0.004312844353719856,spatial,poi_type_Retail_Other,10000,Retail_Other
competitor_port_treat,-4.442232657740145e-05,5.158333155877797e-05,-0.8611759891232166,0.3891411222238925,-0.00014552565643260627,5.668100327780337e-05,7753420,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,71,21734,7753420,-0.004442133992046209,-0.014551506808789772,0.005668260967622027,spatial,poi_type_Retail_Other,10000,Retail_Other
competitor_port_treat_level2,-3.02692981454298e-05,4.849906068782557e-05,-0.6241213276328076,0.5325479083532924,-0.0001253274570935679,6.478886080270832e-05,7753420,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,21734,7753420,-0.003026884003484693,-0.012531960393589265,0.006479095964627735,spatial,poi_type_Retail_Other,10000,Retail_Other
competitor_port_treat_dc,-0.00013601488405009135,0.00022795896465411245,-0.5966638963133999,0.5507318016990781,-0.0005828144547721518,0.000310784686671969,7753420,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,21734,7753420,-0.013600563444511585,-0.05826446514173581,0.0310832985236059,spatial,poi_type_Retail_Other,10000,Retail_Other
